Tanggal Belanja,Nama Vendor,Jumlah Hutang
03/05/26,TASMI FRESH,Rp 19.027.500
04/05/26,TASMI FRESH,Rp 6.000.000
05/05/26,TASMI FRESH,Rp 6.575.000
06/05/26,ALFATIH FROZEN,Rp 295.000
06/05/26,TASMI FRESH,Rp 6.000.000
07/05/26,TASMI FRESH,Rp 5.900.000
08/05/26,TASMI FRESH,Rp 6.275.000
09/05/26,TASMI FRESH,Rp 6.000.000
26/05/26,SUMINTO,Rp 208.000
